Territory_Code,Territory_Name,Retail_Outlets_Served,Retail_Outlets_Not_Served,Total_Potential_Outlets,Penetration_Pct,Latitude,Longitude
A,Azam Nagar-Kangrali,27,9,36,0.75,15.882,74.513
B,Sulga,24,9,33,0.727272727272727,15.871,74.535
C,Sadashiv Nagar,39,11,50,0.78,15.865,74.505
D,Nehru Nagar,21,10,31,0.67741935483871,15.86,74.507
E,Hindalga,15,5,20,0.75,15.83,74.47
F,Camp-Nanawadi,26,16,42,0.619047619047619,15.848,74.497
G,Khade Bazaar,10,22,32,0.3125,15.853,74.503
H,Gandhi Nagar,37,15,52,0.711538461538462,15.845,74.51
I,Mandoli,30,8,38,0.789473684210526,15.84,74.54
J,R.C. Nagar,27,25,52,0.519230769230769,15.842,74.515
K,Tilakwadi,28,9,37,0.756756756756757,15.8377,74.5009
L,Kapleshwar,7,14,21,0.333333333333333,15.848,74.502
M,Shahpur,16,9,25,0.64,15.843,74.5176
N,Navge,19,7,26,0.730769230769231,15.9,74.56
O,Mache-Peeranwadi,12,20,32,0.375,15.83,74.46
P,Udyambag,11,23,34,0.323529411764706,15.8,74.49
Q,Majagaon,8,6,14,0.571428571428571,15.95,74.55
R,Angol-Bhagya Nagar,13,26,39,0.333333333333333,15.815,74.505
S,Hindwadi,2,1,3,0.666666666666667,15.85,74.495
T,Vadgaon,6,1,7,0.857142857142857,15.8,74.51
